account,classification,total_pnl,avg_pnl,trades,win_rate,avg_fee,avg_size_usd
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,124769.221441,1247.69221441,100,0.37,1.43991995,15071.008600000001
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,-40282.335904,-42.62681048042328,945,0.06666666666666667,1.9005011544973545,12080.27055026455
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1113373.547515,626.1943461839145,1778,0.5264341957255343,1.8255600404949381,17020.494876265468
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,276719.270187,482.08932088327526,574,0.1602787456445993,1.5999178710801394,15134.130383275262
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,125650.11674,298.4563342992874,421,0.5819477434679335,3.090613083135392,23336.999311163898
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,-4235.153050999999,-24.91266500588235,170,0.3,0.37229733635294116,2156.074411764706
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,35658.894935000004,43.22290295151516,825,0.576969696969697,0.5359783678666666,1846.6767272727272
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-1658.7368009999998,-0.6326227311212814,2622,0.4782608695652174,0.21969213253623188,981.595171624714
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,30053.395556,10.211823158681618,2943,0.4016309887869521,0.4711921539109752,2204.2242779476724
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,-11933.080125,-16.573722395833332,720,0.3611111111111111,0.36335264915277776,1506.4890555555558
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,16706.884912,20.96221444416562,797,0.37641154328732745,1.4819763299874529,6131.710464240904
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,1793.1602149999999,358.63204299999995,5,0.8,6.9324102,31941.660000000003
0x271b280974205ca63b716753467d5a371de622ab,Fear,30121.91049,16.125219748394002,1868,0.3822269807280514,2.0968106027837257,7222.6180513918625
0x271b280974205ca63b716753467d5a371de622ab,Greed,-100019.806374,-185.22186365555558,540,0.24444444444444444,5.111647977777778,19419.792833333337
0x271b280974205ca63b716753467d5a371de622ab,Neutral,-19038.340561,-31.78354016861436,599,0.0,2.317284724540902,8093.856811352254
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,-25666.012284,-44.71430711498258,574,0.2874564459930314,0.2683035161585366,806.9836411149826
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,108009.960644,14.437904109611015,7481,0.4444592968854431,0.15122172505146372,438.0787434834915
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,13422.524859,9.59437087848463,1399,0.4303073624017155,0.19269194576626164,656.0465117941386
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,31192.591971,10.50255621919192,2970,0.4484848484848485,0.16574024484511785,501.44102693602696
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,5505.749364,6.207158245772266,887,0.46674182638105977,0.1930629805511838,687.0997632468997
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,11415.247787,101.92185524107143,112,0.6875,0.8168233660714286,2477.321696428571
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,90895.05041,61.49868092692828,1478,0.4878213802435724,1.0363616021650879,3409.7221921515566
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,3979.190772,10.444070267716535,381,0.4330708661417323,0.45043199475065615,1534.1833595800524
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,20075.672949,79.35048596442688,253,0.541501976284585,1.3194216442687747,4041.240158102767
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,42292.843076,41.66782569064039,1015,0.5753694581280788,0.9650658039408867,3194.968620689655
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,-56967.825773000004,-216.6077025589354,263,0.11026615969581749,0.15863882509505703,1620.1930798479086
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,30992.181771,192.49802342236023,161,0.45962732919254656,0.15065881291925468,2791.594658385093
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,-467.058896,-1.8244488125,256,0.6796875,0.19040113671875,1320.9939453125
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,-3531.989984,-34.62735278431372,102,0.7254901960784313,0.2896895441176471,1532.4567647058823
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,-1228.907104,-37.23960921212121,33,0.6060606060606061,0.08501996969696969,1207.8618181818183
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,-76179.494853,-45.67115998381295,1668,0.302158273381295,0.37587662149880097,4041.219688249401
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,14406.384865,125.27291186956522,115,0.4956521739130435,0.7503997712173913,4752.3967826086955
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,54685.021109,37.175405240652616,1471,0.3222297756628144,0.3329812664853841,4219.732807613868
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,10591.760255,168.12317865079365,63,0.4444444444444444,1.4949447574603174,11643.763492063492
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,10953.24796,40.26929397058824,272,0.41544117647058826,0.5933896507352941,10901.87974264706
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,110.553364,5.818598105263158,19,1.0,0.3388278947368421,3388.287368421053
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,36870.155091,178.9813353932039,206,0.36893203883495146,0.49630251495145633,2690.061310679612
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,4256.559309,53.88049758227849,79,0.620253164556962,0.5552401148987341,4272.7372151898735
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,4239.816383,163.0698608846154,26,0.5,0.6677188753846153,4772.490384615385
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,8019.163096,4009.581548,2,0.5,3.186734,31867.690000000002
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,9461.082288,155.09970963934427,61,0.04918032786885246,0.4315771803278688,2446.7424590163937
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,4019.61859,37.21869064814815,108,0.23148148148148148,0.5262694907407407,3220.5196296296294
